id,farm,hub,web,image,logo,category
1,3 Sisters Family Farm,PSFH,https://www.3sistersbeef.com/,"https://static.wixstatic.com/media/14afab_7e03e1ca45714bdcaa4d254adcc08361~mv2_d_4200_2800_s_4_2.jpg/v1/fill/w_980,h_579,al_c,q_85,usm_0.66_1.00_0.01/14afab_7e03e1ca45714bdcaa4d254adcc08361~mv2_d_4200_2800_s_4_2.webp",https://lfmimages.blob.core.windows.net/400952-puget/products/producers/8d700213-b955-4908-90ed-681dbc0edf4f/pThumbnail.jpeg,Farm
2,Acme Farms Cheese,PSFH,https://www.acmefarmscheese.com/,https://images.squarespace-cdn.com/content/v1/57d9aab1e4fcb549d987bd11/1479497330715-JGBGZWG03GDHOU8P4UID/ke17ZwdGBToddI8pDm48kM5BmEnDA4Bl8AD5ABf-Eat7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UfyFIubaIMod7PLwyl1ADQNJrBU8l8FOZTeoIid0n8bI_RvfoQ25ZlgT83SK2RCHFg/barn_2.jpg,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/091e12ca-67a2-4f46-8611-b15e9f828a20/pThumbnail.jpeg,Producer
3,Alluvial Farms,PSFH,http://www.alluvialfarms.com/,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/15b98e76-c128-4723-8feb-f6e2e7e815a4/producerImg1.jpeg,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/15b98e76-c128-4723-8feb-f6e2e7e815a4/pThumbnail.jpeg,Farm
4,Avenue Bakery,PSFH,http://www.avenuebread.com/,https://avenuebread.com/wp-content/uploads/2019/11/Bread4Web.jpg,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/d24c7932-acfb-49fa-a5d3-95ef7129d7db/pThumbnail.jpeg,Producer
5,Bart's Better Foods,PSFH,https://store.pugetsoundfoodhub.com/Producer/a8f82789-c0c9-4011-874a-11697252d866,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/a8f82789-c0c9-4011-874a-11697252d866/producerImg2.jpeg,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/a8f82789-c0c9-4011-874a-11697252d866/pThumbnail.jpeg,Producer
6,BeeWorks Farm,PSFH,https://store.pugetsoundfoodhub.com/Producer/84eebf3a-9cb4-4c9c-9e61-9c8ae900b4cb,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/84eebf3a-9cb4-4c9c-9e61-9c8ae900b4cb/producerImg1.jpeg,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/84eebf3a-9cb4-4c9c-9e61-9c8ae900b4cb/pThumbnail.jpeg,Farm
7,Bellewood Farms,PSFH,http://bellewoodfarms.com/,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/BelleWood.JPG,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/bellewoodlogoedit.jpg,Farm
8,Bellingham Pasta Company,PSFH,https://bellinghampasta.com/,https://bellinghampasta.com/bpc/wp-content/uploads/2016/07/simply_1.jpg,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/5b0986b6-5d3e-4e7a-b971-ff170815d10b/pThumbnail.jpeg,Producer
9,Big Barn Brewing,LINC,http://www.bigbarnbrewing.com/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1574551077499-US8HM02F4R73GBE362YY/ke17ZwdGBToddI8pDm48kK60W-ob1oA2Fm-j4E_9NQB7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0kD6Ec8Uq9YczfrzwR7e2Mh5VMMOxnTbph8FXiclivDQnof69TlCeE0rAhj6HUpXkw/IMG_8446.JPG,,Farm
10,Big Sage Organics,LINC,https://www.bigsageorganics.net/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1574454742138-ER9XUHYITPELH7X8RYMZ/ke17ZwdGBToddI8pDm48kFu187FrnlohTMh86m-Pip97gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QHyNOqBUUEtDDsRWrJLTmrHRf1K6y09DV7Y-OKoN9AP6aiSIGfegpgQrV_o0Rel54e7pDuK0Dsd1aPhAE6BHd/Big+Sage+-+Kohlrabi.png,,Farm
